Take-Offs & Landings,,
presumably,[ pri'zju:-məbli，pri:- ],adv. 大概；推测起来；可假定
responsibility,[ ri.spɔnsə'biliti ],n. 责任，职责；义务
purity,[ 'pjuəriti ],n. [化学] 纯度；纯洁；纯净；纯粹
pond,[ pɔnd ],n. 池塘；(the pond) （非正式）大西洋
morale,[ mɔ'rɑ:l， -'ræl ],n. 士气，斗志
moral,[ 'mɔrəl， 'mɔ:- ],adj. 道德的；精神上的；品性端正的
blossom,[ 'blɔsəm ],n. 花；开花期；兴旺期；花开的状态；漂亮的人
bloom,[ blu:m ],n. 花；青春；旺盛
ostrich,[ 'ɔ:stritʃ， 'ɔ- ],n. 鸵鸟；逃避现实的人
chameleon,[ kə'mi:liən ],n. 变色龙；善变的人；轻浮的人
determinant,[ di'tə:minənt ],n. 决定因素；行列式
prompt,[ prɔmpt ],v. 提示，鼓励；促进；激起；导致；（给演员）提白
saturated,[ 'sætʃəreitid ],adj. 饱和的；渗透的；深颜色的
contract,[ 'kɔntrækt， kən'trækt ],n. 合同，契约；婚约；（非正式）暗杀协议；（桥牌）定约
contrast,[ kən'trɑ:st， -'træst， 'kɔntrɑ:st， -træst ],n. 明显的差异，对比，对照； 明显不同的人（或事物）；（摄影或绘画中的）颜色反差；图像明暗对比度，反差
crusader,[ kru:'seidə ],n. 改革者；十字军战士
intrigue,[ in'tri:ɡ， 'in- ],n. 阴谋；诡计；复杂的事；私通
exclamation,[ ，eksklə'meiʃən ],n. 感叹；惊叫；惊叹词
adjacency,[ ə'dʒeisənsi ],n. 毗邻；四周；邻接物
